clause_number,clause_name,clause_description,extraction_inclusion_criteria,extraction_exclusion_criteria
037,Workplace Safety and Health,"Obligations under Occupational Health and Safety Act including worker rights and duties, joint health and safety committees, work refusals, and workplace violence/harassment. WSIB coverage and reporting for workplace injuries. COVID-19 and infectious disease protocols. Ergonomic and psychological safety requirements. Return to work and accommodation duties.","Must include: OHSA worker rights and responsibilities, safety training requirements, personal protective equipment, right to refuse unsafe work, incident reporting procedures, WSIB coverage and claims, joint health and safety committee participation, workplace violence and harassment prevention, emergency procedures and evacuation, ergonomic assessments, psychological safety standards, infectious disease protocols, return to work programs, modified duties, functional abilities forms, safety violation consequences, contractor safety requirements, visitor safety protocols","Must exclude: general code of conduct, performance management, disability benefits, sick leave policies, workers compensation benefits details, harassment investigation procedures"
038,Privacy and Data Protection,"Employee privacy rights and employer monitoring/surveillance policies. PIPEDA compliance for employee personal information. Electronic monitoring disclosure requirements under ESA s.41.1.1 (effective October 2022). Bring-your-own-device (BYOD) policies. Social media monitoring limitations. Biometric data collection. Cross-border data transfer issues.","Must include: personal information collection and use, electronic monitoring disclosure, email and internet monitoring, video surveillance policies, GPS and location tracking, biometric data usage, BYOD privacy provisions, social media monitoring limits, desk and locker searches, personnel file access rights, data breach notifications, cross-border data transfers, retention and destruction schedules, consent requirements, third-party disclosure limits, privacy breach procedures, subject access requests, correction rights","Must exclude: confidentiality of business information, intellectual property rights, background check procedures, drug testing privacy, medical information handling"
039,Disability and Accommodation,"Duty to accommodate disabilities under Human Rights Code to point of undue hardship. Integration with sick leave, STD/LTD benefits, and WSIB. Functional abilities assessments and return to work. Mental health accommodations. Temporary and permanent accommodations. Interactive accommodation process. Documentation requirements while respecting privacy.","Must include: accommodation request procedures, medical documentation requirements, functional abilities assessments, interactive dialogue process, temporary vs permanent accommodations, work schedule modifications, assistive technology provision, job restructuring options, reassignment possibilities, leave as accommodation, performance standard adjustments, undue hardship factors, accommodation review cycles, return to work coordination, third-party medical assessments, failure to cooperate consequences, family status accommodation, religious accommodation","Must exclude: general sick leave, short/long-term disability benefits, WSIB claims, maternity/parental leave, human rights policy, workplace accessibility standards"
040,Workplace Investigations,"Internal investigation procedures for misconduct, harassment, discrimination, and policy violations. Procedural fairness requirements. Right to representation. Confidentiality during investigations. Interim measures including suspension with/without pay. Appeal procedures. External investigation triggers. Duty to cooperate. Whistleblower protections.","Must include: investigation triggers and scope, investigator appointment process, procedural fairness rights, representation during interviews, suspension pending investigation, confidentiality obligations, non-retaliation protections, documentation requirements, witness obligations, evidence preservation, interim safety measures, timeline requirements, findings and conclusions, disciplinary outcomes, appeal procedures, external investigation criteria, regulatory reporting obligations, privilege and litigation holds","Must exclude: performance management, regular supervision, customer complaints, quality assurance, financial audits, safety inspections"
041,Unionized Employee Provisions,"Application of collective agreement terms superseding individual contract. Union security clauses (Rand formula/closed shop). Grievance and arbitration procedures. Seniority rights. Bumping and recall. Strike/lockout implications. Dual representation issues. Management rights. Just cause under collective agreements typically different from common law.","Must include: collective agreement supremacy, union dues checkoff, grievance procedures, arbitration processes, seniority applications, bumping rights, recall procedures, strike/lockout provisions, picket line crossing, union leave provisions, steward representation, labor-management committees, technological change provisions, contracting out restrictions, work jurisdiction, classification grievances, past practice recognition, management excluded positions","Must exclude: non-union employment terms, individual performance management, merit-based compensation, at-will termination, individual negotiation"
042,Confidential Employee Designation,"Special provisions for employees with access to labor relations information, executive compensation, strategic planning, or other sensitive information. May exclude from bargaining units. Enhanced confidentiality obligations. Restricted stock trading windows. Inside information handling. Conflicts of interest. Post-employment restrictions typically stronger.","Must include: confidential designation criteria, excluded from bargaining unit, labor relations confidentiality, executive compensation access, strategic information handling, insider trading restrictions, blackout periods, pre-clearance requirements, disclosure obligations, enhanced post-employment restrictions, board meeting attendance, minute-taking obligations, document handling protocols, communication restrictions, Chinese wall provisions, need-to-know principles, special training requirements","Must exclude: general confidentiality, regular employee classifications, public information, standard conflict of interest"
043,Commission and Sales Compensation,"Commission structures, draws, quotas, territory assignments, and house accounts. ESA requirements for commission during vacation and leaves. Clarification of commission entitlement during notice period following Paquette v. TeraGo Networks Inc. and Lin v. Ontario Teachers' Pension Plan Board, 2016 ONCA 619. Territory changes and account reassignments.","Must include: commission rates and tiers, quota setting process, territory definitions, account assignments, house account rules, split commission rules, draw against commission, true-up procedures, commission payment timing, charge-back provisions, customer payment requirements, commission during notice, vacation pay on commission, leave impact on commission, accelerators and decelerators, spiffs and bonuses, override commissions, trail commissions","Must exclude: base salary, general bonuses, stock options, benefits, expense reimbursements, car allowances"
044,Temporary Layoff Provisions,"Rights to temporarily layoff under ESA s.56 (13 weeks in 20-week period or 35 weeks in 52-week period with benefits/payments). Common law position that layoff without contractual right constitutes constructive dismissal (Elsegood v. Cambridge Spring Service, 2011 ONCA 831). Recall rights and procedures. Benefits during layoff. Deemed termination triggers.","Must include: temporary layoff authorization, ESA timing limits, benefit continuation during layoff, supplementary unemployment benefits, recall procedures and notice, seniority during layoff, bumping rights, refusal of recall consequences, deemed termination dates, severance triggering events, communication during layoff, alternative work during layoff, partial layoffs, rotating layoffs, emergency layoffs, infectious disease emergency layoffs, vacation during layoff","Must exclude: termination without cause, resignation, permanent workforce reductions, plant closures, strikes and lockouts"
045,Modification and Amendment,"Procedures for changing employment terms. Consideration requirements for post-employment amendments following Hobbs v. TDI Canada Ltd., 2004 CanLII 44783 ON CA. Written modification requirements. Implied term changes through conduct. Policy manual amendments. Grandfathering provisions. Notice of changes. Acceptance mechanisms.","Must include: written amendment requirements, consideration for changes, mutual agreement provisions, policy manual updates, grandfathering clauses, notice of changes procedures, deemed acceptance provisions, protest and work under protest, fundamental term changes, compensation adjustments, benefit plan changes, regulatory-driven amendments, technology updates, business transfer impacts, change management procedures, dispute resolution for changes","Must exclude: automatic adjustments, cost of living increases, collective agreement modifications, termination terms, merger and acquisition"
046,Dispute Resolution and Arbitration,"Mandatory arbitration clauses, mediation requirements, and litigation alternatives. Arbitration acts (provincial and federal) application. Carve-outs for ESA claims and human rights complaints which cannot be contracted out. Cost allocation. Appeal rights. Expedited procedures. Choice of arbitrators. Governing law and jurisdiction.","Must include: negotiation requirements first, mediation procedures, arbitrator selection process, arbitration rules applicable, cost and fee allocation, location of proceedings, expedited procedures, appeal limitations, confidentiality of proceedings, interim relief availability, ESA and human rights carve-outs, class action waivers, jury trial waivers, limitation periods, governing law selection, jurisdiction agreements, service of process","Must exclude: grievance procedures (union), internal complaint processes, performance review appeals, workplace investigations"
047,Entire Agreement and Integration,"Supersession of prior agreements, representations, and understandings. Integration clause preventing reliance on oral promises or outside documents. Parol evidence rule application. Survival of certain provisions. Incorporation by reference. Employee acknowledgments. Impact on prior employment agreements or offer letters.","Must include: supersession of prior agreements, oral representation exclusions, integration of all terms, specific document incorporations, survival clause specifications, offer letter supersession, policy manual relationships, benefit plan documents, stock option agreements, confidentiality agreement continuity, reliance exclusions, inducement representations, acknowledgment of understanding, independent legal advice, translation provisions, execution formalities","Must exclude: future modifications, amendment procedures, collective agreements, statutory entitlements, common law implications"
048,Waiver and Estoppel,"Non-waiver provisions, written waiver requirements, and estoppel limitations. Single instance waivers not constituting ongoing waiver. Reservation of rights. Failure to enforce not constituting abandonment. Time limitations on claims. Doctrines of acquiescence and laches. Promissory estoppel limitations per employment context.","Must include: written waiver requirements, single vs. continuing waivers, non-enforcement impacts, reservation of rights, partial enforcement rights, delay in enforcement, acquiescence limitations, consent requirements, precedent disclaimers, policy exception handling, accommodation without precedent, past practice limitations, custom and usage exclusions, promissory estoppel limits, detrimental reliance issues","Must exclude: specific term modifications, amendment procedures, settlement agreements, releases and indemnities"
049,Notice and Communication","Methods of formal notice delivery between parties. Electronic communication validity. Deemed receipt provisions. Address for service. Email and portal notifications. Emergency contact information. Beneficiary designations. Change of address obligations. Service requirements for legal proceedings.","Must include: acceptable delivery methods, physical mail requirements, email notification validity, employee portal use, deemed receipt timing, address for service, emergency contact updates, beneficiary designations, change notification obligations, out-of-office impacts, alternative contact methods, legal service provisions, union notice requirements, government notice obligations, public filing requirements, language of communications","Must exclude: resignation notice periods, termination notice requirements, investigation notices, policy update distributions"
050,Governing Law and Jurisdiction,"Choice of law provisions, forum selection, and conflict of laws. Application of Ontario Employment Standards Act regardless of choice of law for Ontario employees. Federal vs. provincial jurisdiction for regulated industries. Foreign employee considerations. Cross-border employment issues. Mandatory forum provisions limitations.","Must include: Ontario law application, federal vs provincial jurisdiction, forum selection clauses, exclusive vs non-exclusive jurisdiction, conflict of law rules, mandatory law application, ESA territorial scope, foreign law exclusions, cross-border considerations, regulatory jurisdiction, venue selection, service outside jurisdiction, forum non conveniens, parallel proceedings, enforcement of judgments, choice of law limitations","Must exclude: arbitration agreements, dispute resolution procedures, entire agreement clauses, notice provisions"
